Direction,Letter Height (degrees),Eccentricity (degrees)
1,0.5,35
1,0.4,30
1,0.2,20
1,1.2,40
1,0.2,10
1,0.3,25
1,0.4,15
1,0.2,5
3,0.4,25
3,0.4,30
3,1,40
3,0.2,5
3,0.4,20
3,1,35
3,0.2,15
3,0.3,10
