Direction,Letter Height (degrees),Eccentricity (degrees)
1,0.3,5
1,0.4,35
1,0.3,10
1,0.4,30
1,0.3,15
1,0.3,20
1,0.3,25
1,1.2,40
3,0.3,15
3,0.4,40
3,0.4,25
3,0.2,5
3,0.4,30
3,1,35
3,2.1,10
3,0.8,20
