Direction,Letter Height (degrees),Eccentricity (degrees)
1,0.5,10
1,2.1,30
1,1.7,25
1,2.4,35
1,3.7,40
1,1,15
1,0.5,5
1,1,20
3,0.7,20
3,3.9,40
3,1.6,10
3,4,35
3,3.7,30
3,2,25
3,0.4,5
3,1.4,15
