Direction,Letter Height (degrees),Eccentricity (degrees)
3,0.7000000000000002,10
1,1.0,15
3,1.4,20
1,3.0000000000000018,35
3,0.8,15
3,1.0999999999999996,30
3,1.6000000000000003,25
1,2.4000000000000004,30
3,3.2,40
3,3.1000000000000014,35
1,4.2,40
1,0.40000000000000013,10
1,0.6,5
1,1.600000000000001,25
1,1.7,20
3,0.40000000000000013,5
